start_time,away_team,away_team_score,home_team,home_team_score
2004-11-18 03:00:00+00:00,MEMPHIS GRIZZLIES,101,PORTLAND TRAIL BLAZERS,82
2004-11-18 03:30:00+00:00,CHICAGO BULLS,85,GOLDEN STATE WARRIORS,98
2004-11-18 03:30:00+00:00,LOS ANGELES CLIPPERS,89,LOS ANGELES LAKERS,103
2004-11-19 00:00:00+00:00,CLEVELAND CAVALIERS,106,CHARLOTTE BOBCATS,89
2004-11-19 00:00:00+00:00,SAN ANTONIO SPURS,88,PHILADELPHIA 76ERS,80
2004-11-19 02:30:00+00:00,NEW YORK KNICKS,93,HOUSTON ROCKETS,92
2004-11-20 00:00:00+00:00,SEATTLE SUPERSONICS,101,TORONTO RAPTORS,94
2004-11-20 00:30:00+00:00,SAN ANTONIO SPURS,92,BOSTON CELTICS,84
2004-11-20 00:30:00+00:00,UTAH JAZZ,105,MIAMI HEAT,107
2004-11-20 01:00:00+00:00,INDIANA PACERS,97,DETROIT PISTONS,82
2004-11-20 01:30:00+00:00,NEW YORK KNICKS,101,DALLAS MAVERICKS,103
2004-11-20 02:00:00+00:00,CHICAGO BULLS,81,DENVER NUGGETS,99
2004-11-20 02:00:00+00:00,LOS ANGELES LAKERS,102,PHOENIX SUNS,107
2004-11-20 03:00:00+00:00,MILWAUKEE BUCKS,98,PORTLAND TRAIL BLAZERS,110
2004-11-20 03:30:00+00:00,MEMPHIS GRIZZLIES,105,SACRAMENTO KINGS,107
2004-11-20 20:30:00+00:00,HOUSTON ROCKETS,91,LOS ANGELES CLIPPERS,86
2004-11-21 00:00:00+00:00,UTAH JAZZ,92,ATLANTA HAWKS,79
2004-11-21 00:30:00+00:00,CHARLOTTE BOBCATS,84,CLEVELAND CAVALIERS,100
2004-11-21 01:00:00+00:00,ORLANDO MAGIC,86,INDIANA PACERS,83
2004-11-21 01:00:00+00:00,WASHINGTON WIZARDS,97,NEW JERSEY NETS,86
2004-11-21 01:00:00+00:00,MINNESOTA TIMBERWOLVES,99,NEW ORLEANS HORNETS,94
2004-11-21 03:30:00+00:00,MEMPHIS GRIZZLIES,100,GOLDEN STATE WARRIORS,87
2004-11-21 18:00:00+00:00,SAN ANTONIO SPURS,91,TORONTO RAPTORS,96
2004-11-21 20:30:00+00:00,PHOENIX SUNS,122,LOS ANGELES CLIPPERS,111
2004-11-21 23:00:00+00:00,SEATTLE SUPERSONICS,83,BOSTON CELTICS,102
2004-11-21 23:00:00+00:00,CHARLOTTE BOBCATS,116,DETROIT PISTONS,117
2004-11-21 23:00:00+00:00,PHILADELPHIA 76ERS,83,MIAMI HEAT,93
2004-11-22 00:30:00+00:00,CLEVELAND CAVALIERS,88,NEW YORK KNICKS,98
2004-11-22 01:00:00+00:00,HOUSTON ROCKETS,97,PORTLAND TRAIL BLAZERS,93
2004-11-22 02:00:00+00:00,DALLAS MAVERICKS,82,DENVER NUGGETS,110
2004-11-22 02:00:00+00:00,MILWAUKEE BUCKS,79,SACRAMENTO KINGS,88
2004-11-22 02:30:00+00:00,CHICAGO BULLS,93,LOS ANGELES LAKERS,102
