start_time,away_team,away_team_score,home_team,home_team_score
2006-11-14 00:30:00+00:00,SEATTLE SUPERSONICS,119,NEW JERSEY NETS,113
2006-11-14 00:30:00+00:00,CLEVELAND CAVALIERS,102,NEW YORK KNICKS,96
2006-11-15 00:00:00+00:00,MILWAUKEE BUCKS,103,ATLANTA HAWKS,101
2006-11-15 00:30:00+00:00,DENVER NUGGETS,112,MIAMI HEAT,105
2006-11-15 01:00:00+00:00,PORTLAND TRAIL BLAZERS,89,MINNESOTA TIMBERWOLVES,101
2006-11-15 01:00:00+00:00,CHARLOTTE BOBCATS,85,NEW ORLEANS/OKLAHOMA CITY HORNETS,94
2006-11-15 01:30:00+00:00,CHICAGO BULLS,99,DALLAS MAVERICKS,111
2006-11-15 01:30:00+00:00,SAN ANTONIO SPURS,92,HOUSTON ROCKETS,84
2006-11-15 02:00:00+00:00,LOS ANGELES CLIPPERS,90,UTAH JAZZ,112
2006-11-15 03:30:00+00:00,TORONTO RAPTORS,99,GOLDEN STATE WARRIORS,110
2006-11-16 00:00:00+00:00,PORTLAND TRAIL BLAZERS,87,CLEVELAND CAVALIERS,100
2006-11-16 00:00:00+00:00,DENVER NUGGETS,99,ORLANDO MAGIC,108
2006-11-16 00:30:00+00:00,INDIANA PACERS,88,BOSTON CELTICS,114
2006-11-16 00:30:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,100,DETROIT PISTONS,99
2006-11-16 00:30:00+00:00,MILWAUKEE BUCKS,87,NEW JERSEY NETS,100
2006-11-16 00:30:00+00:00,WASHINGTON WIZARDS,82,NEW YORK KNICKS,102
2006-11-16 01:00:00+00:00,CHARLOTTE BOBCATS,95,SAN ANTONIO SPURS,92
2006-11-16 02:00:00+00:00,MEMPHIS GRIZZLIES,111,SACRAMENTO KINGS,115
2006-11-16 03:00:00+00:00,PHILADELPHIA 76ERS,96,SEATTLE SUPERSONICS,90
2006-11-17 01:00:00+00:00,CHICAGO BULLS,100,HOUSTON ROCKETS,101
2006-11-17 03:30:00+00:00,SACRAMENTO KINGS,105,GOLDEN STATE WARRIORS,117
2006-11-18 00:00:00+00:00,NEW JERSEY NETS,100,INDIANA PACERS,91
2006-11-18 00:30:00+00:00,PORTLAND TRAIL BLAZERS,90,BOSTON CELTICS,118
2006-11-18 00:30:00+00:00,MINNESOTA TIMBERWOLVES,76,CLEVELAND CAVALIERS,92
2006-11-18 00:30:00+00:00,NEW YORK KNICKS,100,MIAMI HEAT,76
2006-11-18 01:00:00+00:00,WASHINGTON WIZARDS,91,DETROIT PISTONS,100
2006-11-18 01:00:00+00:00,DALLAS MAVERICKS,115,MEMPHIS GRIZZLIES,103
2006-11-18 01:00:00+00:00,CHICAGO BULLS,83,SAN ANTONIO SPURS,100
2006-11-18 03:30:00+00:00,TORONTO RAPTORS,100,LOS ANGELES LAKERS,107
2006-11-18 03:30:00+00:00,PHILADELPHIA 76ERS,94,PHOENIX SUNS,106
2006-11-18 03:30:00+00:00,UTAH JAZZ,118,SEATTLE SUPERSONICS,109
2006-11-19 00:00:00+00:00,MIAMI HEAT,93,ATLANTA HAWKS,88
2006-11-19 00:00:00+00:00,CHARLOTTE BOBCATS,83,ORLANDO MAGIC,97
2006-11-19 00:00:00+00:00,CLEVELAND CAVALIERS,99,WASHINGTON WIZARDS,111
2006-11-19 00:30:00+00:00,HOUSTON ROCKETS,92,DETROIT PISTONS,104
